Timestamp_ms,CPU_Temp
1697679825061,50.599998474121094
1697679826747,51.099998474121094
1697679828282,51.099998474121094
1697679829678,50.099998474121094
1697679831178,50.099998474121094
1697679832660,51.599998474121094
1697679834229,52.099998474121094
1697679835735,51.599998474121094
1697679837269,52.099998474121094
1697679838802,52.099998474121094
1697679840329,51.599998474121094
1697679841806,52.099998474121094
1697679843322,52.5
1697679844925,52.099998474121094
1697679846523,53.0
1697679848038,52.5
1697679849595,51.599998474121094
1697679851080,52.099998474121094
1697679852564,53.0
1697679854064,52.5
1697679855424,53.5
1697679856896,52.099998474121094
1697679858319,53.0
1697679859844,52.5
1697679861541,52.099998474121094
1697679863105,53.5
1697679864550,53.0
1697679866046,53.0
1697679867525,53.0
1697679868990,54.5
1697679870421,53.0
1697679871927,54.0
1697679873393,54.5
1697679874866,54.0
1697679876367,53.0
1697679877854,54.0
1697679879357,53.0
1697679880873,54.0
1697679882389,53.5
1697679884023,53.5
1697679885518,54.0
1697679887024,54.0
1697679888406,54.5
1697679889897,53.0
1697679891411,54.0
1697679892966,55.5
1697679894507,55.0
1697679896083,54.5
1697679897530,54.0
1697679899110,55.0
1697679900602,54.5
1697679902116,55.0
1697679903464,54.0
1697679904879,54.0
1697679906347,54.0
1697679907817,55.0
1697679909261,55.0
1697679910786,55.0
1697679912229,54.5
1697679913696,54.5
1697679915195,54.5
1697679916594,55.0
1697679918074,55.0
1697679919432,55.0
1697679920813,54.5
1697679922177,55.0
1697679923565,56.0
1697679924932,54.0
1697679926249,54.5
1697679927633,55.0
