frame_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1677119087292,1677119087296,1677119088481,1677119088483,1191,1185,6
2,1677119088571,1677119088575,1677119088801,1677119088803,232,226,6
3,1677119089644,1677119089646,1677119089782,1677119089784,140,136,4
CPU_usage_percent,peak_memory_mb,current_memory_mb
62.9150390625,12.612783432006836,0.1740330010652542
