frame_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1677134060920,1677134060925,1677134061119,1677134061121,201,194,7
2,1677134061997,1677134062000,1677134062151,1677134062153,156,151,5
3,1677134063068,1677134063072,1677134063204,1677134063206,138,132,6
CPU_usage_percent,peak_memory_mb,current_memory_mb
131.73828125,12.505725860595703,0.06422200053930283
