frame_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
99,1677436659317,1677436659318,1677436659509,1677436659510,193,191,2
100,1677436659605,1677436659608,1677436659795,1677436659797,192,187,5
101,1677436659892,1677436659895,1677436660062,1677436660063,171,167,4
102,1677436660185,1677436660188,1677436660373,1677436660375,190,185,5
103,1677436660492,1677436660494,1677436660660,1677436660662,170,166,4
104,1677436660784,1677436660787,1677436660966,1677436660967,183,179,4
105,1677436661084,1677436661086,1677436661276,1677436661278,194,190,4
106,1677436661386,1677436661388,1677436661598,1677436661600,214,210,4
107,1677436661700,1677436661702,1677436662014,1677436662015,315,312,3
108,1677436662110,1677436662112,1677436662326,1677436662328,218,214,4
109,1677436662424,1677436662426,1677436662747,1677436662749,325,321,4
110,1677436662839,1677436662841,1677436663029,1677436663030,191,188,3
111,1677436663134,1677436663137,1677436663415,1677436663417,283,278,5
112,1677436663505,1677436663507,1677436663679,1677436663680,175,172,3
113,1677436663800,1677436663802,1677436663981,1677436663983,183,179,4
114,1677436664093,1677436664095,1677436664263,1677436664265,172,168,4
115,1677436664380,1677436664382,1677436664561,1677436664562,182,179,3
116,1677436664671,1677436664674,1677436664864,1677436664866,195,190,5
117,1677436664973,1677436664975,1677436665151,1677436665152,179,176,3
118,1677436665262,1677436665265,1677436665430,1677436665431,169,165,4
119,1677436665551,1677436665554,1677436665734,1677436665736,185,180,5
120,1677436665847,1677436665849,1677436666037,1677436666039,192,188,4
121,1677436666143,1677436666145,1677436666310,1677436666311,168,165,3
122,1677436666424,1677436666426,1677436666645,1677436666647,223,219,4
123,1677436666744,1677436666747,1677436666999,1677436667001,257,252,5
124,1677436667102,1677436667105,1677436667330,1677436667331,229,225,4
125,1677436667432,1677436667434,1677436667631,1677436667632,200,197,3
126,1677436667726,1677436667729,1677436667897,1677436667898,172,168,4
127,1677436668015,1677436668017,1677436668198,1677436668201,186,181,5
128,1677436668307,1677436668310,1677436668489,1677436668491,184,179,5
129,1677436668611,1677436668613,1677436668916,1677436668918,307,303,4
130,1677436669020,1677436669024,1677436669230,1677436669232,212,206,6
131,1677436669326,1677436669328,1677436669492,1677436669493,167,164,3
132,1677436669632,1677436669635,1677436669842,1677436669844,212,207,5
133,1677436669945,1677436669947,1677436670150,1677436670153,208,203,5
134,1677436670264,1677436670266,1677436670463,1677436670464,200,197,3
135,1677436670561,1677436670563,1677436670778,1677436670780,219,215,4
136,1677436670874,1677436670877,1677436671096,1677436671098,224,219,5
137,1677436671198,1677436671201,1677436671417,1677436671419,221,216,5
138,1677436671503,1677436671505,1677436671713,1677436671715,212,208,4
139,1677436671812,1677436671814,1677436672038,1677436672040,228,224,4
140,1677436672137,1677436672140,1677436672329,1677436672331,194,189,5
141,1677436672429,1677436672432,1677436672657,1677436672659,230,225,5
142,1677436672745,1677436672749,1677436672968,1677436672969,224,219,5
143,1677436673053,1677436673055,1677436673300,1677436673301,248,245,3
144,1677436673413,1677436673416,1677436673721,1677436673723,310,305,5
145,1677436673820,1677436673823,1677436674057,1677436674059,239,234,5
146,1677436674154,1677436674156,1677436674350,1677436674352,198,194,4
147,1677436674441,1677436674443,1677436674670,1677436674672,231,227,4
148,1677436674756,1677436674758,1677436675004,1677436675006,250,246,4
149,1677436675099,1677436675101,1677436675330,1677436675332,233,229,4
150,1677436675421,1677436675423,1677436675643,1677436675644,223,220,3
151,1677436675738,1677436675740,1677436675944,1677436675945,207,204,3
152,1677436676026,1677436676028,1677436676230,1677436676232,206,202,4
153,1677436676310,1677436676312,1677436676508,1677436676510,200,196,4
154,1677436676596,1677436676598,1677436676779,1677436676781,185,181,4
155,1677436676879,1677436676882,1677436677077,1677436677078,199,195,4
156,1677436677161,1677436677165,1677436677364,1677436677366,205,199,6
157,1677436677459,1677436677462,1677436677644,1677436677645,186,182,4
158,1677436677751,1677436677753,1677436677971,1677436677973,222,218,4
159,1677436678051,1677436678053,1677436678293,1677436678295,244,240,4
160,1677436678392,1677436678395,1677436678620,1677436678621,229,225,4
161,1677436678713,1677436678715,1677436679044,1677436679046,333,329,4
162,1677436679150,1677436679152,1677436679382,1677436679384,234,230,4
163,1677436679470,1677436679472,1677436679676,1677436679678,208,204,4
164,1677436679768,1677436679771,1677436679964,1677436679966,198,193,5
165,1677436680072,1677436680074,1677436680250,1677436680251,179,176,3
166,1677436680362,1677436680363,1677436680548,1677436680550,188,185,3
167,1677436680669,1677436680672,1677436680839,1677436680841,172,167,5
168,1677436680968,1677436680970,1677436681121,1677436681123,155,151,4
169,1677436681260,1677436681262,1677436681422,1677436681423,163,160,3
170,1677436681552,1677436681555,1677436681731,1677436681732,180,176,4
171,1677436681866,1677436681869,1677436682050,1677436682051,185,181,4
172,1677436682164,1677436682167,1677436682353,1677436682356,192,186,6
173,1677436682459,1677436682461,1677436682648,1677436682650,191,187,4
174,1677436682753,1677436682755,1677436682954,1677436682956,203,199,4
175,1677436683114,1677436683116,1677436683329,1677436683331,217,213,4
176,1677436683415,1677436683417,1677436683627,1677436683629,214,210,4
177,1677436683711,1677436683714,1677436683955,1677436683957,246,241,5
178,1677436684048,1677436684050,1677436684279,1677436684280,232,229,3
179,1677436684361,1677436684364,1677436684565,1677436684566,205,201,4
180,1677436684660,1677436684662,1677436684849,1677436684850,190,187,3
181,1677436684949,1677436684952,1677436685149,1677436685151,202,197,5
182,1677436685249,1677436685251,1677436685488,1677436685490,241,237,4
183,1677436685584,1677436685587,1677436685780,1677436685781,197,193,4
184,1677436685872,1677436685874,1677436686052,1677436686054,182,178,4
185,1677436686160,1677436686163,1677436686359,1677436686361,201,196,5
186,1677436686453,1677436686455,1677436686620,1677436686621,168,165,3
187,1677436686734,1677436686737,1677436686943,1677436686945,211,206,5
188,1677436687037,1677436687039,1677436687259,1677436687260,223,220,3
189,1677436687348,1677436687351,1677436687582,1677436687583,235,231,4
190,1677436687678,1677436687680,1677436687888,1677436687890,212,208,4
191,1677436687984,1677436687987,1677436688200,1677436688201,217,213,4
192,1677436688291,1677436688293,1677436688488,1677436688490,199,195,4
193,1677436688588,1677436688591,1677436688781,1677436688783,195,190,5
194,1677436688884,1677436688887,1677436689103,1677436689105,221,216,5
195,1677436689204,1677436689206,1677436689347,1677436689349,145,141,4
196,1677436689486,1677436689488,1677436689650,1677436689652,166,162,4
197,1677436689775,1677436689778,1677436689985,1677436689986,211,207,4
198,1677436690083,1677436690084,1677436690313,1677436690315,232,229,3
199,1677436690414,1677436690416,1677436690615,1677436690617,203,199,4
200,1677436690710,1677436690713,1677436690940,1677436690941,231,227,4
201,1677436691035,1677436691037,1677436691263,1677436691265,230,226,4
202,1677436691360,1677436691364,1677436691628,1677436691631,271,264,7
203,1677436691733,1677436691735,1677436691944,1677436691945,212,209,3
204,1677436692038,1677436692041,1677436692248,1677436692250,212,207,5
205,1677436692347,1677436692350,1677436692584,1677436692585,238,234,4
206,1677436692690,1677436692693,1677436692898,1677436692900,210,205,5
207,1677436693004,1677436693007,1677436693211,1677436693213,209,204,5
208,1677436693317,1677436693319,1677436693497,1677436693498,181,178,3
209,1677436693616,1677436693618,1677436693800,1677436693802,186,182,4
210,1677436693920,1677436693922,1677436694112,1677436694114,194,190,4
211,1677436694217,1677436694220,1677436694396,1677436694397,180,176,4
212,1677436694511,1677436694513,1677436694729,1677436694731,220,216,4
213,1677436694833,1677436694836,1677436695028,1677436695030,197,192,5
214,1677436695130,1677436695132,1677436695309,1677436695310,180,177,3
215,1677436695425,1677436695429,1677436695612,1677436695614,189,183,6
216,1677436695726,1677436695729,1677436695942,1677436695943,217,213,4
217,1677436696034,1677436696037,1677436696256,1677436696258,224,219,5
218,1677436696362,1677436696365,1677436696598,1677436696600,238,233,5
219,1677436696701,1677436696704,1677436696910,1677436696912,211,206,5
220,1677436696997,1677436697000,1677436697214,1677436697216,219,214,5
221,1677436697311,1677436697314,1677436697544,1677436697545,234,230,4
222,1677436697651,1677436697655,1677436697848,1677436697850,199,193,6
223,1677436697946,1677436697948,1677436698161,1677436698162,216,213,3
224,1677436698262,1677436698264,1677436698465,1677436698466,204,201,3
225,1677436698567,1677436698570,1677436698779,1677436698781,214,209,5
226,1677436698882,1677436698885,1677436699125,1677436699127,245,240,5
227,1677436699226,1677436699229,1677436699450,1677436699452,226,221,5
228,1677436699552,1677436699554,1677436699758,1677436699759,207,204,3
229,1677436699855,1677436699858,1677436700077,1677436700078,223,219,4
230,1677436700185,1677436700187,1677436700531,1677436700533,348,344,4
231,1677436700624,1677436700627,1677436700881,1677436700883,259,254,5
232,1677436700976,1677436700979,1677436701222,1677436701224,248,243,5
233,1677436701316,1677436701318,1677436701569,1677436701571,255,251,4
234,1677436701665,1677436701668,1677436701892,1677436701894,229,224,5
235,1677436701990,1677436701992,1677436702225,1677436702226,236,233,3
236,1677436702307,1677436702309,1677436702485,1677436702487,180,176,4
237,1677436702590,1677436702594,1677436702754,1677436702755,165,160,5
238,1677436702870,1677436702873,1677436703061,1677436703062,192,188,4
239,1677436703152,1677436703155,1677436703332,1677436703334,182,177,5
240,1677436703445,1677436703447,1677436703631,1677436703633,188,184,4
241,1677436703741,1677436703743,1677436703935,1677436703936,195,192,3
242,1677436704035,1677436704038,1677436704257,1677436704259,224,219,5
243,1677436704358,1677436704360,1677436704549,1677436704551,193,189,4
244,1677436704653,1677436704656,1677436704806,1677436704808,155,150,5
245,1677436704941,1677436704944,1677436705144,1677436705146,205,200,5
246,1677436705243,1677436705246,1677436705419,1677436705422,179,173,6
247,1677436705532,1677436705534,1677436705740,1677436705742,210,206,4
248,1677436705834,1677436705836,1677436706046,1677436706048,214,210,4
249,1677436706149,1677436706152,1677436706402,1677436706404,255,250,5
250,1677436706498,1677436706501,1677436706747,1677436706748,250,246,4
CPU_usage_percent,peak_memory_mb,current_memory_mb
167.44384765625,14.05005168914795,1.60486900806427
network_download_speed,network_upload_speed
59,14
