request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693205469959,1692233205578,1692233222679,1693205487269,17310,17101,209
2,1693205487269,1692233222817,1692233239940,1693205504407,17138,17123,15
3,1693205504569,1692233240120,1692233257409,1693205521866,17297,17289,8
4,1693205521866,1692233257414,1692233274408,1693205538865,16999,16994,5
5,1693205541881,1692233277429,1692233294505,1693205558961,17080,17076,4
6,1693205558961,1692233294510,1692233311792,1693205576248,17287,17282,5
7,1693205576412,1692233311961,1692233329098,1693205593554,17142,17137,5
8,1693205593554,1692233329106,1692233346093,1693205610549,16995,16987,8
9,1693205610555,1692233346104,1692233363195,1693205627651,17096,17091,5
10,1693205627651,1692233363204,1692233380230,1693205644696,17045,17026,19
11,1693205644858,1692233380408,1692233397637,1693205662092,17234,17229,5
12,1693205662092,1692233397642,1692233414575,1693205679060,16968,16933,35
13,1693205679067,1692233414617,1692233431674,1693205696163,17096,17057,39
14,1693205696163,1692233431714,1692233448755,1693205713284,17121,17041,80
15,1693205713446,1692233448997,1692233466233,1693205730705,17259,17236,23
16,1693205730705,1692233466256,1692233483216,1693205747671,16966,16960,6
17,1693205750694,1692233486246,1692233503306,1693205767876,17182,17060,122
18,1693205767876,1692233503428,1692233520501,1693205784955,17079,17073,6
19,1693205785116,1692233520668,1692233537862,1693205802349,17233,17194,39
20,1693205802350,1692233537904,1692233555274,1693205819727,17377,17370,7
21,1693205819734,1692233555286,1692233572354,1693205836807,17073,17068,5
22,1693205836807,1692233572359,1692233589553,1693205854006,17199,17194,5
23,1693205854168,1692233589721,1692233608163,1693205872617,18449,18442,7
24,1693205872617,1692233608169,1692233625435,1693205889888,17271,17266,5
25,1693205889896,1692233625448,1692233642666,1693205907119,17223,17218,5
26,1693205907119,1692233642673,1692233659700,1693205924152,17033,17027,6
27,1693205924313,1692233659866,1692233676907,1693205941359,17046,17041,5
28,1693205941359,1692233676912,1692233693845,1693205958298,16939,16933,6
29,1693205958304,1692233693857,1692233711029,1693205975481,17177,17172,5
30,1693205975481,1692233711034,1692233728091,1693205992543,17062,17057,5
31,1693205992704,1692233728258,1692233745644,1693206010095,17391,17386,5
32,1693206010095,1692233745649,1692233762663,1693206027114,17019,17014,5
33,1693206027121,1692233762675,1692233779725,1693206044176,17055,17050,5
34,1693206044177,1692233779731,1692233796772,1693206061224,17047,17041,6
35,1693206061385,1692233796940,1692233814098,1693206078549,17164,17158,6
36,1693206078549,1692233814103,1692233831147,1693206095598,17049,17044,5
37,1693206098617,1692233834172,1692233851562,1693206116097,17480,17390,90
38,1693206116097,1692233851652,1692233868702,1693206133152,17055,17050,5
39,1693206133313,1692233868868,1692233885868,1693206150318,17005,17000,5
40,1693206150318,1692233885873,1692233903156,1693206167606,17288,17283,5
41,1693206167613,1692233903169,1692233920195,1693206184645,17032,17026,6
42,1693206184645,1692233920200,1692233937277,1693206201727,17082,17077,5
