frame_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1677134350645,1677134350652,1677134350846,1677134350847,202,194,8
2,1677134351763,1677134351767,1677134351958,1677134351960,197,191,6
3,1677134352832,1677134352835,1677134352983,1677134352984,152,148,4
CPU_usage_percent,peak_memory_mb,current_memory_mb
86.73095703125,7.955932140350342,0.11506500095129013
