frame_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1677119016744,1677119016747,1677119016991,1677119016992,248,244,4
2,1677119017879,1677119017882,1677119018028,1677119018031,152,146,6
3,1677119018958,1677119018961,1677119019096,1677119019097,139,135,4
CPU_usage_percent,peak_memory_mb,current_memory_mb
64.66064453125,8.135274887084961,0.29611900448799133
